model,metric,mean,std,ci95,p_value
dqn,rewards,-561.3998967319727,0.01485600606418107,0.009705923961931632,
dqn,throughputs,2108.0,0.0,0.0,
dqn,travel_times,50.720113851992416,7.105427357601002e-15,4.642212540299321e-15,
dqn,waiting_times,44721.14833333333,0.0,0.0,
dqn,queue_lengths,316.33833333333325,5.684341886080802e-14,3.713770032239457e-14,
fixed_time,rewards,-572.3531558398157,0.022220556434402544,0.014517430203809658,
fixed_time,throughputs,2108.0,0.0,0.0,
fixed_time,travel_times,50.720113851992416,7.105427357601002e-15,4.642212540299321e-15,
fixed_time,waiting_times,44721.14833333333,0.0,0.0,
fixed_time,queue_lengths,316.33833333333325,5.684341886080802e-14,3.713770032239457e-14,
dqn_vs_fixed_time,rewards,,,,1.4566404681811372e-40
dqn_vs_fixed_time,throughputs,,,,
dqn_vs_fixed_time,travel_times,,,,1.0
dqn_vs_fixed_time,waiting_times,,,,
dqn_vs_fixed_time,queue_lengths,,,,1.0
